Account ID,Account name,Instance ID,Finding reason(s),Instance name,Instance type,OS,Region,Total running hours,RI hours,On-Demand hours,Savings Plans hours,CPU utilization,Memory utilization,Disk utilization,EBS read (Ops/s),EBS write (Ops/s),EBS read throughput (KiB/s),EBS write throughput (KiB/s),Disk read (Ops/s),Disk write (Ops/s),Disk read throughput (KiB/s),Disk write throughput (KiB/s),Network in (KiB/s),Network out (KiB/s),Network packets in (Packets/s),Network packets out (Packets/s),Recommended action,Recommended instance type 1,Recommended instance type 1 Estimated savings,Recommended instance type 1 Projected CPU utilization,Recommended instance type 1 Projected memory utilization,Recommended instance type 1 Projected disk utilization,Recommended instance type 1 Platform difference(s),Recommended instance type 2,Recommended instance type 2 Estimated savings,Recommended instance type 2 Projected CPU utilization,Recommended instance type 2 Projected memory utilization,Recommended instance type 2 Projected disk utilization,Recommended instance type 2 Platform difference(s),Recommended instance type 3,Recommended instance type 3 Estimated savings,Recommended instance type 3 Projected CPU utilization,Recommended instance type 3 Projected memory utilization,Recommended instance type 3 Projected disk utilization,Recommended instance type 3 Platform difference(s)
XXXXXXXXXXXX,WA Cost Labs,i-010027,,Name-010027,t2.small,Windows (Amazon VPC),US West (Oregon),261.72,0,261.72,0,13.60655738,,,16.31,4.393333333,364.5006803,101.7681771,,,,,1.187023383,0.285871039,0.866777778,0.338666667,Modify,t2.micro,8.040825118,13.60655738,,,,t2.nano,12.16302027,13.60655738,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010028,,Name-010028,t2.small,Windows (Amazon VPC),US West (Oregon),261.714722,0,261.714722,0,12.88135593,,,11.36666667,5.47,233.2592025,145.7675293,,,,,0.219080946,0.086031087,0.255333333,0.306611111,Modify,t2.micro,8.040662962,12.88135593,,,,t2.nano,12.16277499,12.88135593,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010029,,Name-010029,t3a.small,Linux/UNIX,Asia Pacific (Tokyo),336,0,336,0,2.500041667,,,0.003333333,2.51,0.012715658,70.26672363,,,,,0.619014214,0.495483941,0.778055556,0.704444444,Modify,t3a.micro,8.036205,2.500041667,,,,t3a.nano,12.02164,2.500041667,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010030,,Name-010030,t2.small,Windows (Amazon VPC),US West (Oregon),259.666389,0,259.666389,0,23.66666667,,,64.15666667,13.29666667,714.4975651,320.4504655,,,,,25.73822211,0.517786458,9.348444444,1.732666667,Modify,t2.micro,7.977732015,23.66666667,,,,t2.nano,12.06758197,23.66666667,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010031,,Name-010031,t2.small,Windows (Amazon VPC),US West (Oregon),259.663889,0,259.663889,0,17.66666667,,,10.91333333,4.8,183.6172721,101.4216764,,,,,0.123400608,0.102216254,0.286666667,0.331388889,Modify,t2.micro,7.977655208,17.66666667,,,,t2.nano,12.06746579,17.66666667,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010032,,Name-010032,t3.small,Linux/UNIX,EU (Frankfurt),336,0,336,0,2.04183682,,,0.44,0.516666667,26.41042074,6.370544434,,,,,0.07260281,0.288584256,0.120277778,0.100333333,Modify,t3.micro,7.8402,2.04183682,,,,t3.nano,11.7603,2.04183682,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010033,,Name-010033,t3a.small,Linux/UNIX,Asia Pacific (Sydney),336,0,336,0,21.55071836,,,3.906666667,40.91333333,34.94262695,439.1225179,,,,,0.288097602,0.316801758,0.435166667,0.537722222,Modify,t3a.micro,7.774865,21.55071836,,,,t3a.nano,11.694965,21.55071836,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010034,,Name-010034,t3a.small,Linux/UNIX,Asia Pacific (Sydney),336,0,336,0,2.858333333,,,0.003333333,2.22,0.012715658,95.43100993,,,,,1.358876953,5.62746148,1.869111111,1.588666667,Modify,t3a.micro,7.774865,2.858333333,,,,t3a.nano,11.694965,2.858333333,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010035,,Name-010035,t2.micro,Linux/UNIX,US East (N. Virginia),336,0,336,0,0.666666667,,,0,0.86,0,12.25789388,,,,,0.000672201,0.000661892,0.001555556,0.002666667,Terminate,,7.57886,,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010036,,Name-010036,t2.small,Linux/UNIX,US West (Oregon),336,0,336,0,16.83333333,,,7.39,6.226666667,361.4171354,246.0734115,,,,,0.091024034,0.37164822,0.203833333,0.186111111,Modify,t2.micro,7.44819,16.83333333,,,,t2.nano,11.23762,16.83333333,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010037,,Name-010037,t2.small,Linux/UNIX,US East (Ohio),336,0,336,0,11.66666667,,,0,1.583333333,0,18.85731771,,,,,,,,,Modify,t2.micro,7.44819,11.66666667,,,,t2.nano,11.23762,11.66666667,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010038,,Name-010038,t2.small,Linux/UNIX,US East (Ohio),336,0,336,0,11.31147541,,,0,1.27,0,16.3269043,,,,,,,,,Modify,t2.micro,7.44819,11.31147541,,,,t2.nano,11.23762,11.31147541,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010039,,Name-010039,t2.small,Red Hat Enterprise Linux,US East (N. Virginia),336,0,336,0,1.016949153,,,0,1.3,0,15.70542643,,,,,0.004808485,0.003917372,0.022888889,0.016555556,Modify,t2.micro,7.44819,1.016949153,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010040,,Name-010040,t2.small,Linux/UNIX,US East (N. Virginia),336,0,336,0,3.833333333,,,0.003333333,0.836666667,0.012714844,12.16888997,,,,,0.005008138,0.006727702,0.011222222,0.009611111,Modify,t2.micro,7.44819,3.833333333,,,,t2.nano,11.23762,3.833333333,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010041,,Name-010041,t2.small,Linux/UNIX,US West (Oregon),336,0,336,0,3.833333333,,,0,0.8,0,12.80466797,,,,,0.077498101,0.060501302,0.152,0.131722222,Modify,t2.micro,7.44819,3.833333333,,,,t2.nano,11.23762,3.833333333,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010042,,Name-010042,t2.small,Linux/UNIX,US West (Oregon),336,0,336,0,2,,,0.013333333,0.92,0.190735677,12.65208333,,,,,,,,,Modify,t2.micro,7.44819,2,,,,t2.nano,11.23762,2,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010043,,Name-010043,t2.small,Linux/UNIX,US West (Oregon),336,0,336,0,2.295081967,,,0,1.346666667,0,16.75923828,,,,,,,,,Modify,t2.micro,7.44819,2.295081967,,,,t2.nano,11.23762,2.295081967,,,,,,,,,
