Account ID,Account Name,Instance ID,Instance Type,OS,Region,Running Hours,RI Hours,OD Hours, CPU Utilization ,Memory Utilization,Disk Utilization,Recommended Action,Recommended Instance Type 1, Recommended Instance Type 1 Estimated Savings , Recommended Instance Type 1 Projected CPU ,Recommended Instance Type 1 Projected Memory,Recommended Instance Type 1 Projected Disk,Recommended Instance Type 2, Recommended Instance Type 2 Estimated Savings , Recommended Instance Type 2 Projected CPU ,Recommended Instance Type 2 Projected Memory,Recommended Instance Type 2 Projected Disk,Recommended Instance Type 3, Recommended Instance Type 3 Estimated Savings , Recommended Instance Type 3 Projected CPU ,Recommended Instance Type 3 Projected Memory,Recommended Instance Type 3 Projected Disk
836000000000,WA Cost Labs,i-01124,r4.2xlarge,SUSE Linux,EU (Frankfurt),1,0,1, 24.50 ,,,Modify,r4.xlarge, $0.70 , 49.00 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-011260,t3.micro,Linux/UNIX,EU (Frankfurt),2.506111,0,2.506111, 39.00 ,,,Modify,t3.nano, $0.03 , 39.00 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-01128,c4.xlarge,Linux/UNIX,EU (Frankfurt),330,0,330, 23.25 ,,,Modify,c4.large, $81.02 , 46.50 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-011327,t2.micro,Linux/UNIX,US East (N. Virginia),329,0,329, 12.00 ,,,Modify,t2.nano, $4.15 , 12.00 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-011364,c4.4xlarge,Linux/UNIX,EU (Ireland),0.040556,0,0.040556, 8.98 ,,,Modify,c4.2xlarge, $0.04 , 17.95 ,,,c4.xlarge, $0.06 , 35.90 ,,,c4.large, $0.07 , 71.80 ,,
836000000000,WA Cost Labs,i-011378,t1.micro,Linux/UNIX,US East (N. Virginia),0.280278,0,0.280278, 0.82 ,,,Terminate,, $0.01 ,,,,,,,,,,,,,
836000000000,WA Cost Labs,i-011410,c4.xlarge,Linux/UNIX,Asia Pacific (Singapore),0.029444,0,0.029444, 23.38 ,,,Modify,c4.large, $0.01 , 46.75 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-011425,t3.medium,Linux/UNIX,EU (Frankfurt),330,0,330, 10.00 ,,,Modify,t3.small, $17.21 , 10.00 ,,,t3.nano, $30.11 , 10.00 ,,,t3.micro, $25.81 , 10.00 ,,
836000000000,WA Cost Labs,i-011428,t2.medium,Red Hat Enterprise Linux,EU (Ireland),1,0,1, 16.23 ,,,Modify,t2.small, $0.05 , 32.46 ,,,t2.micro, $0.08 , 32.46 ,,,,,,,
836000000000,WA Cost Labs,i-01148,c4.xlarge,Linux/UNIX,US East (N. Virginia),0.18,0,0.18, 15.46 ,,,Modify,c4.large, $0.04 , 30.92 ,,,,,,,,,,,,
